LP,KRS,NIP,Name,Voivodeship,County,Municipality,City
2077,0000094699,5260251440,ZWIĄZEK HARCERSTWA POLSKIEGO,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2078,0000094781,6760105133,FUNDACJA IM. KS. SIEMASZKI,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
2079,0000095021,9661281472,STOWARZYSZENIE BLIŻEJ SIEBIE BIAŁYSTOK-EINDHOVEN,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2080,0000095062,9441169922,FUNDACJA SZTUKI OSÓB NIEPEŁNOSPRAWNYCH,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
2081,0000095191,5252229897,STOŁECZNE WODNE OCHOTNICZE POGOTOWIE RATUNKOWE,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2082,0000095198,5860103989,"WOJSKOWY KLUB SPORTOWY ""FLOTA"" GDYNIA",POMORSKIE,M. GDYNIA,M. GDYNIA,GDYNIA
2083,0000095262,9291473534,LUBUSKIE STOWARZYSZENIE INWALIDÓW NARZĄDU RUCHU,LUBUSKIE,M. ZIELONA GÓRA,M. ZIELONA GÓRA,ZIELONA GÓRA
2084,0000095264,6210003769,"CUKROWNICZY KLUB SPORTOWY ""ZDUNY""",WIELKOPOLSKIE,KROTOSZYŃSKI,ZDUNY,ZDUNY
2085,0000095501,6871090185,SANOCKA FUNDACJA OCHRONY ZDROWIA,PODKARPACKIE,SANOCKI,SANOK,SANOK
2086,0000095599,6252120646,OCHOTNICZA STRAŻ POŻARNA ŁAGISZA,ŚLĄSKIE,BĘDZIŃSKI,BĘDZIN,BĘDZIN
2087,0000095623,7821488638,TOWARZYSTWO PRZYWRACANIA RODZINY,WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
2088,0000095631,6761069161,DZIEŁO POMOCY DZIECIOM FUNDACJA RUPERTA MAYERA,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
2089,0000095689,9910234739,"LUDOWY ZESPÓŁ SPORTOWY ""GAZOWNIK"" WAWELNO",OPOLSKIE,OPOLSKI,KOMPRACHCICE,WAWELNO
2090,0000095698,5262048453,"STOWARZYSZENIE RODZICÓW I PRZYJACIÓŁ DZIECI NIEWIDOMYCH I SŁABOWIDZĄCYCH ""TĘCZA""",MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2091,0000095730,6341850464,"TOWARZYSTWO WSPIERANIA TWÓRCZOŚCI DZIECIĘCEJ ""SŁONECZNI""",ŚLĄSKIE,M. KATOWICE,M. KATOWICE,KATOWICE
2092,0000095767,6981692293,"STOWARZYSZENIE POMOCY DZIECIOM I MŁODZIEŻY NIEPEŁNOSPRAWNEJ ""ŚWIATŁO NADZIEI""",WIELKOPOLSKIE,KOŚCIAŃSKI,ŚMIGIEL,ŚMIGIEL
2093,0000095843,7291182801,RUDZKI KLUB SPORTOWY,ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2094,0000095861,9471762576,FUNDACJA ZESPOŁU SZKÓŁ KATOLICKICH IM. JANA PAWŁA II,ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2095,0000095873,6462581566,OCHOTNICZA STRAŻ POŻARNA W ŚWIERCZYŃCU,ŚLĄSKIE,BIERUŃSKO-LĘDZIŃSKI,BOJSZOWY,ŚWIERCZYNIEC
2096,0000095892,5252255386,FUNDACJA OCHRONY ZABYTKÓW PRZEMYSŁU I TECHNIKI,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2097,0000095954,6442435672,"FUNDACJA ""POLITRAUMA"" PRZY WOJEWÓDZKIM SZPITALU SPECJALISTYCZNYM NR 5 IM ŚW. BARBARY W SOSNOWCU",ŚLĄSKIE,M. SOSNOWIEC,M. SOSNOWIEC,SOSNOWIEC
2098,0000096101,6341046360,SPOŁECZNE TOWARZYSTWO EDUKACYJNE W KATOWICACH,ŚLĄSKIE,M. KATOWICE,M. KATOWICE,KATOWICE
2099,0000096256,5551891799,"CHOJNICKIE STOWARZYSZENIE KOBIET ""AMAZONKI""",POMORSKIE,CHOJNICKI,CHOJNICE,CHOJNICE
2100,0000096310,7822165156,ODDZIAŁ WIELKOPOLSKI STOWARZYSZENIA ZASTĘPCZEGO RODZICIELSTWA,WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
2101,0000096357,6930011432,"FUNDACJA NA RZECZ ZAPOBIEGANIA NARKOMANII ""MARATON""",MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
2102,0000096480,5222379534,"STOWARZYSZENIE RODZICÓW ORAZ PRZYJACIÓŁ DZIECI I OSÓB NIEPEŁNOSPRAWNYCH - ""BLIŻEJ DZIECKA""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2103,0000096521,8811404735,"""TOWARZYSTWO MIŁOŚNIKÓW GORZANOWA""",DOLNOŚLĄSKIE,KŁODZKI,BYSTRZYCA KŁODZKA,GORZANÓW
2104,0000096523,9281005665,STOWARZYSZENIE OŚWIATOWE W ŻARACH,LUBUSKIE,ŻARSKI,ŻARY,ŻARY
2105,0000096589,9661610705,"TOWARZYSTWO DZIAŁAŃ TWÓRCZYCH ""TALENT"" W BIAŁYMSTOKU",PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2106,0000096615,9491538793,SPOŁECZNE TOWARZYSTWO OŚWIATOWE SAMODZIELNE KOŁO TERENOWE NR 188 W CZĘSTOCHOWIE,ŚLĄSKIE,M. CZĘSTOCHOWA,M. CZĘSTOCHOWA,CZĘSTOCHOWA
2107,0000096631,8792309868,KLUB ROTARY MŁYNIEC DRUGI,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,TORUŃ
2108,0000096639,5871379531,LEKKOATLETYCZNY KLUB SPORTOWY ZIEMI PUCKIEJ,POMORSKIE,PUCKI,PUCK,PUCK
2109,0000096678,8133189638,ZWIĄZEK STOWARZYSZEŃ POMOCY OSOBOM NIEPEŁNOSPRAWNYM POWIATU RZESZOWSKIEGO,PODKARPACKIE,RZESZOWSKI,ŚWILCZA,MROWLA
2110,0000096793,5252016701,KRAJOWE TOWARZYSTWO AUTYZMU,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2111,0000096883,5481059907,TOWARZYSTWO KSZTAŁCENIA ARTYSTYCZNEGO,ŚLĄSKIE,CIESZYŃSKI,USTROŃ,USTROŃ
2112,0000096997,8512650490,"STOWARZYSZENIE WOLONTARIUSZY ""DA DU""",ZACHODNIOPOMORSKIE,M. SZCZECIN,M. SZCZECIN,SZCZECIN
2113,0000097051,1132176860,"""FUNDACJA ABCXXI - CAŁA POLSKA CZYTA DZIECIOM""",MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
2114,0000097057,7271044697,MIEJSKI KLUB TENISOWY,ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2115,0000097123,5242418504,FUNDACJA WARSZAWSKIE HOSPICJUM DLA DZIECI,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-TARGÓWEK,WARSZAWA
2116,0000097202,7122297938,"FUNDACJA ""DOM DZIECI BENJAMIN""",LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
2117,0000097219,7161004550,"""PUŁAWSKIE CENTRUM PRZEDSIĘBIORCZOŚCI""",LUBELSKIE,PUŁAWSKI,PUŁAWY,PUŁAWY
2118,0000097331,8381637424,STOWARZYSZENIE RÓWNYCH SZANS,MAZOWIECKIE,ŻYRARDOWSKI,ŻYRARDÓW,ŻYRARDÓW
2119,0000097403,6272260557,"CHORZOWSKIE STOWARZYSZENIE TRZEŹWOŚCIOWE ""FENIKS""",ŚLĄSKIE,M. CHORZÓW,M. CHORZÓW,CHORZÓW
2120,0000097425,7311793839,"STOWARZYSZENIE MŁODZIEŻY I OSÓB Z PROBLEMAMI PSYCHICZNYMI, ICH RODZIN I PRZYJACIÓŁ ""POMOST""",ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2121,0000097530,5532233078,OCHOTNICZA STRAŻ POŻARNA W WĘGIERSKIEJ GÓRCE,ŚLĄSKIE,ŻYWIECKI,WĘGIERSKA GÓRKA,WĘGIERSKA GÓRKA
2122,0000097564,7811363651,WIELKOPOLSKI OKRĘGOWY ZWIĄZEK ŻEGLARSKI,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2123,0000097644,8981832594,CENTRUM NOWEJ EWANGELIZACJI DON BOSCO,DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
2124,0000097668,5251436878,STOWARZYSZENIE DZIECI HOLOCAUSTU W POLSCE,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2125,0000097768,9730727015,OCHOTNICZA STRAŻ POŻARNA W LETNICY,LUBUSKIE,ZIELONOGÓRSKI,ŚWIDNICA,LETNICA
2126,0000097900,6781561787,MATIO FUNDACJA POMOCY RODZINOM I CHORYM NA MUKOWISCYDOZĘ,MAŁOPOLSKIE,MIASTO KRAKÓW,M.KRAKÓW,KRAKÓW
2127,0000097903,6482330560,"STOWARZYSZENIE ""KONTAKT"" NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH",ŚLĄSKIE,ZABRZE,ZABRZE,ZABRZE
2128,0000097983,7181883514,"STOWARZYSZENIE PIELĘGNIAREK I POŁOŻNYCH NA RZECZ ROZWOJU, PROMOCJI I DOSKONALENIA ZAWODOWEGO",PODLASKIE,ŁOMŻA,ŁOMŻA,ŁOMŻA
2129,0000098014,6922212647,"TOWARZYSTWO KRZEWIENIA KULTURY FIZYCZNEJ ""START"" W POLKOWICACH",DOLNOŚLĄSKIE,POLKOWICKI,POLKOWICE,POLKOWICE
2130,0000098018,5842229674,GDAŃSKI KLUB FANTASTYKI,POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK
2131,0000098165,8221854130,"MAZOWIECKIE STOWARZYSZENIE NA RZECZ DZIECI I MŁODZIEŻY Z MÓZGOWYM PORAŻENIEM DZIECIĘCYM - ""KROK DALEJ""",MAZOWIECKIE,MIŃSKI,MIŃSK MAZOWIECKI,MIŃSK MAZOWIECKI
2132,0000098178,8671898713,"KLUB SPORTOWY ""SIARKA""",PODKARPACKIE,M. TARNOBRZEG,M. TARNOBRZEG,TARNOBRZEG
2133,0000098197,9561268325,STOWARZYSZENIE PRZYJACIÓŁ KATEDRY KONSERWACJI-RESTAURACJI MALARSTWA I RZEŹBY POLICHROMOWANEJ TORUŃSKIEJ SZKOŁY KONSERWACJI,KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
2134,0000098259,5421953071,STOWARZYSZENIE HONOROWYCH DAWCÓW KRWI,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2135,0000098315,8411568172,"KLUB SPORTOWY ""LEŚNIK-CEWICE""",POMORSKIE,LĘBORSKI,CEWICE,CEWICE
2136,0000098397,5882004467,"FUNDACJA ""UŚMIECH DZIECKA""",POMORSKIE,WEJHEROWSKI,WEJHEROWO,WEJHEROWO
2137,0000098422,5213187261,"STOWARZYSZENIE ""CANTORES MINORES"" IM. JOSEPHA HERTERA",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2138,0000098456,,POZNAŃSKI KLUB KARATE KYOKUSHIN,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2139,0000098534,5732213488,STOWARZYSZENIE POMOCY OSOBOM Z AUTYZMEM,ŚLĄSKIE,CZĘSTOCHOWA,CZĘSTOCHOWA,CZĘSTOCHOWA
2140,0000098653,5261705423,"FUNDACJA POMOCY SPOŁECZNEJ ""EVA""",MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2141,0000098680,8512507545,"STOWARZYSZENIE POMOCY DZIECIOM I MŁODZIEŻY NIEPEŁNOSPRAWNEJ RUCHOWO ""TĘCZA"" W SZCZECINIE",ZACHODNIOPOMORSKIE,M. SZCZECIN,M. SZCZECIN,SZCZECIN
2142,0000098724,5832082904,STOWARZYSZENIE SERCE W DOBRE RĘCE PRZY KLINICE KARDIOLOGII DZIECIĘCEJ I WAD WRODZONYCH SERCA,POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK
2143,0000098734,,FUNDACJA AZYLU POD PSIM ANIOŁEM,MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
2144,0000098769,,"SPOŁECZNA FUNDACJA ""ZDROWE SERCE""",DOLNOŚLĄSKIE,LUBIŃSKI,LUBIN,LUBIN
2145,0000098782,8471470347,STOWARZYSZENIE GOŁDAPSKI FUNDUSZ LOKALNY,WARMIŃSKO-MAZURSKIE,GOŁDAPSKI,GOŁDAP,GOŁDAP
2146,0000099011,5581523480,OCHOTNICZA STRAŻ POŻARNA CUKROWNIA NAKŁO W NAKLE NAD NOTECIĄ,KUJAWSKO-POMORSKIE,NAKIELSKI,NAKŁO NAD NOTECIĄ,NAKŁO NAD NOTECIĄ
2147,0000099022,9661610792,"STOWARZYSZENIE POMOCY RODZINIE I DZIECIOM ""SZANSA""",PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2148,0000099030,7261737832,TOWARZYSTWO PRZYJACIÓŁ ŁODZI,ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2149,0000099074,5471662973,"POLSKIE TOWARZYSTWO TURYSTYCZNO-KRAJOZNAWCZE ODDZIAŁ PTTK ""PODBESKIDZIE"" W BIELSKU-BIAŁEJ",ŚLĄSKIE,M. BIELSKO-BIAŁA,M. BIELSKO-BIAŁA,BIELSKO-BIAŁA
2150,0000099189,5471869496,TOWARZYSTWO PSYCHOPROFILAKTYCZNE ODDZIAŁ BIELSKO-BIAŁA,ŚLĄSKIE,BIELSKO-BIAŁA,BIELSKO-BIAŁA,BIELSKO-BIAŁA
2151,0000099206,8821052930,TOWARZYSTWO MIŁOŚNIKÓW DZIERŻONIOWA,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DZIERŻONIÓW
2152,0000099312,8792045814,POLSKI ZWIĄZEK LEKKIEJ ATLETYKI MASTERS,KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
2153,0000099349,7770005178,"WOJSKOWY KLUB SPORTOWY ""GRUNWALD"" POZNAŃ",WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2154,0000099438,6792869425,"FUNDACJA ""ZWIERZĘTA KRAKOWA""",MAŁOPOLSKIE,KRAKÓW,KRAKÓW,KRAKÓW
2155,0000099443,8951768911,FUNDACJA TOBIASZKI,DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
2156,0000099464,5260300196,POLSKIE TOWARZYSTWO EKONOMICZNE,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2157,0000099466,5421952172,KLUB INTELIGENCJI KATOLICKIEJ,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
2158,0000099488,5482168567,"TOWARZYSTWO ŚPIEWACZE ""LUTNIA"" IM. JANA ORSZULIKA W STRUMIENIU",ŚLĄSKIE,CIESZYŃSKI,STRUMIEŃ,STRUMIEŃ
2159,0000099504,9541104365,ŚLĄSKIE STOWARZYSZENIE AD VITAM DIGNAM W KATOWICACH,ŚLĄSKIE,M. KATOWICE,M. KATOWICE,KATOWICE
2160,0000099511,5251081346,KOMITET OCHRONY PRAW DZIECKA,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2161,0000099572,5260001223,"ZWIĄZEK POLSKICH AUTORÓW I KOMPOZYTORÓW ""ZAKR""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2162,0000099579,7712552490,"FUNDACJA OŚWIATOWA ""JAROSTY""",ŁÓDZKIE,PIOTRKOWSKI,MOSZCZENICA,JAROSTY
2163,0000099591,6792715604,STOWARZYSZENIE PRZYJACIÓŁ OPIEKI PALIATYWNO-HOSPICYJNEJ,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
2164,0000099653,9462299274,"FUNDACJA ""MALI SZCZĘŚLIWI"" IM. JANUSZA KORCZAKA",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN
2165,0000099659,9551996649,SZCZECIŃSKIE STOWARZYSZENIE POMOCY AUTYSTOM,ZACHODNIOPOMORSKIE,M. SZCZECIN,M. SZCZECIN,SZCZECIN
2166,0000099691,9570823766,POLSKI ZWIĄZEK NIEWIDOMYCH OKRĘG POMORSKI,POMORSKIE,M. GDAŃSK,M. GDAŃSK,GDAŃSK
2167,0000099699,5471766655,"STOWARZYSZENIE LUDOWY KLUB SPORTOWY ""ZAPORA"" WAPIENICA",ŚLĄSKIE,M. BIELSKO-BIAŁA,M. BIELSKO-BIAŁA,BIELSKO-BIAŁA
2168,0000099733,8971615961,"TOWARZYSTWO MIŁOŚNIKÓW LWOWA I KRESÓW POŁUDNIOWO-WSCHODNICH
ODDZIAŁ WROCŁAWSKI",DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
2169,0000099737,8961322157,"""TOWARZYSTWO MIŁOŚNIKÓW CHRZĄSTAWY""",DOLNOŚLĄSKIE,WROCŁAWSKI,CZERNICA,CHRZĄSTAWA WIELKA
2170,0000099847,5481139836,TOWARZYSTWO OPIEKI NAD NIEPEŁNOSPRAWNYMI W USTRONIU,ŚLĄSKIE,CIESZYŃSKI,USTROŃ,USTROŃ
2171,0000099867,7122514531,"FUNDACJA DUSZPASTERSTWA BIBLIJNEGO ""METANOIA""",LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
2172,0000099986,6912131692,STOWARZYSZENIE PRZYJACIÓŁ SZTUKI W LEGNICY,DOLNOŚLĄSKIE,LEGNICA,LEGNICA,LEGNICA
2173,0000100052,9441977711,NIEZALEŻNY ZWIĄZEK HARCERSTWA CZERWONY MAK IM. BOHATERÓW MONTE CASSINO,MAŁOPOLSKIE,KRAKOWSKI,SKAWINA,SKAWINA
2174,0000100115,9291419204,BIEGUSY-STOWARZYSZENIE CHORYCH NA STWARDNIENIE ROZSIANE,LUBUSKIE,M. ZIELONA GÓRA,M. ZIELONA GÓRA,ZIELONA GÓRA
2175,0000100192,5482147737,"""FUNDACJA ŚW.ANTONIEGO""",ŚLĄSKIE,CIESZYŃSKI,USTROŃ,USTROŃ
2176,0000100243,5532042332,FUNDACJA POMOCY DZIECIOM,ŚLĄSKIE,ŻYWIECKI,ŻYWIEC,ŻYWIEC
2177,0000100311,7822243287,"STOWARZYSZENIE POMOCY DZIECIOM I RODZINOM ""AMICI""",WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2178,0000100375,6112330912,ROTARY CLUB JELENIA GÓRA,DOLNOŚLĄSKIE,KARKONOSKI,PODGÓRZYN,STANISZÓW
2179,0000100485,8720003290,"LUDOWY KLUB SPORTOWY ""IGLOOPOL"" DĘBICA",PODKARPACKIE,DĘBICKI,DĘBICA,DĘBICA
2180,0000100516,6112447442,KARKONOSKI SEJMIK OSÓB NIEPEŁNOSPRAWNYCH,LUBUSKIE,ZIELONA GÓRA,ZIELONA GÓRA,ZIELONA GÓRA
2181,0000100566,7721074647,STOWARZYSZENIE PRZYJACIÓŁ MIASTA KAMIEŃSKA,ŁÓDZKIE,RADOMSZCZAŃSKI,KAMIEŃSK,KAMIEŃSK
2182,0000100596,9720980296,"STOWARZYSZENIE ROWEROWY POZNAŃ - ""SEKCJA ROWERZYSTÓW MIEJSKICH""",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
2183,0000100686,7811710348,TOWARZYSTWO BAMBRÓW POZNAŃSKICH,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2184,0000100708,9471783590,"STOWARZYSZENIE RODZICÓW I PRZYJACIÓŁ DZIECI I OSÓB SPECJALNEJ TROSKI ""TROSKA""",ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
2185,0000100740,,POLSKIE TOWARZYSTWO HISTORYCZNE,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2186,0000100777,8521014374,FUNDACJA NA RZECZ WSPIERANIA SZKÓŁ I PRZEDSZKOLI INTEGRACYJNYCH,ZACHODNIOPOMORSKIE,M. SZCZECIN,M. SZCZECIN,SZCZECIN
2187,0000100948,7393284793,FUNDACJA LAURENTIUS,WARMIŃSKO-MAZURSKIE,M. OLSZTYN,M. OLSZTYN,OLSZTYN
2188,0000100960,6921017234,"STOWARZYSZENIE ""DAĆ NADZIEJĘ""",DOLNOŚLĄSKIE,LUBIŃSKI,LUBIN,LUBIN
2189,0000101080,6562136831,OCHOTNICZA STRAŻ POŻARNA W KRASOCINIE,ŚWIĘTOKRZYSKIE,WŁOSZCZOWSKI,KRASOCIN,KRASOCIN
2190,0000101177,5731795258,STOWARZYSZENIE RODZIN KATOLICKICH ARCHIDIECEZJI CZĘSTOCHOWSKIEJ,ŚLĄSKIE,M. CZĘSTOCHOWA,M. CZĘSTOCHOWA,CZĘSTOCHOWA
2191,0000101194,5261046481,FUNDACJA IM. STEFANA BATOREGO,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2192,0000101273,9661483193,STOWARZYSZENIE OCHOTNICZYCH HUFCÓW PRACY TERENOWY ODDZIAŁ W BIAŁYMSTOKU,PODLASKIE,BIAŁYSTOK,BIAŁYSTOK,BIAŁYSTOK
2193,0000101306,8971617316,"DOLNOŚLĄSKIE STOWARZYSZENIE PRZYJACIÓŁ DZIECI I MŁODZIEŻY Z WADAMI SŁUCHU ""SONORUS""",DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
2194,0000101309,5212844509,FUNDACJA POMOCY WDOWOM I SIEROTOM PO POLEGŁYCH POLICJANTACH,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2195,0000101325,5252193567,FUNDACJA POLSKIEGO PAŃSTWA PODZIEMNEGO,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2196,0000101333,5832681680,"STOWARZYSZENIE INSTYTUT PROMOCJI NAUCZYCIELI ""SOLIDARNOŚĆ"" W GDAŃSKU",POMORSKIE,M. GDAŃSK,M. GDAŃSK,GDAŃSK
2197,0000101360,,"STOWARZYSZENIE ""TACY SAMI""",POMORSKIE,KARTUSKI,PRZODKOWO,PRZODKOWO
2198,0000101426,6761762608,LIONS CLUB KRAKÓW STARE MIASTO,MAŁOPOLSKIE,M.KRAKÓW,KRAKÓW,KRAKÓW
2199,0000101471,5262141129,"FUNDACJA ""MICROFINANCE CENTRE""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2200,0000101494,7621854624,"STOWARZYSZENIE ""POMÓŻ DZIECIOM""",MAZOWIECKIE,WOŁOMIŃSKI,KLEMBÓW,KLEMBÓW
2201,0000101520,6911960759,"STOWARZYSZENIE PRZYJACIÓŁ I RODZICÓW OSÓB Z UPOŚLEDZENIEM INTELEKTUALNYM ""JUTRZENKA""",DOLNOŚLĄSKIE,M. LEGNICA,M. LEGNICA,LEGNICA
2202,0000101574,6572153989,STOWARZYSZENIE NAUCZYCIELI I WYCHOWAWCÓW W KIELCACH,ŚWIĘTOKRZYSKIE,KIELCE,KIELCE,KIELCE
2203,0000101623,6912042698,"""RUCH KOBIET DO WALKI Z RAKIEM PIERSI - EUROPA DONNA LEGNICA""",DOLNOŚLĄSKIE,M. LEGNICA,M. LEGNICA,LEGNICA
2204,0000101660,6931187191,"""TOWARZYSTWO ZIEMI GŁOGOWSKIEJ""",DOLNOŚLĄSKIE,GŁOGOWSKI,GŁOGÓW,GŁOGÓW
2205,0000101679,5451535817,"STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH ""RADOŚĆ ŻYCIA""",PODLASKIE,SOKÓLSKI,DĄBROWA BIAŁOSTOCKA,DĄBROWA BIAŁOSTOCKA
2206,0000101727,5270025030,FUNDACJA DLA SZPITALA SPECJALISTYCZNEGO ŚW. ZOFII W WARSZAWIE,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-WOLA,WARSZAWA
2207,0000101748,5251569444,STOWARZYSZENIE CENTRUM INFORMACJI SPOŁECZNEJ - CIS,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2208,0000101910,5470086303,"LUDOWY KLUB SPORTOWY ""ZAPORA"" PORĄBKA",ŚLĄSKIE,BIELSKI,PORĄBKA,PORĄBKA
2209,0000102034,7811645007,DZIECIAKI CHOJRAKI STOWARZYSZENIE WSPIERANIA TRANSPLANTACJI SZPIKU I ONKOLOGII DZIECIĘCEJ,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2210,0000102124,9591053871,ORATORIUM ŚWIĘTOKRZYSKIE ŚWIĘTEGO JANA BOSKO W KIELCACH,ŚWIĘTOKRZYSKIE,M. KIELCE,M. KIELCE,KIELCE
2211,0000102130,5241392300,STOWARZYSZENIE PRZYJACIÓŁ INTEGRACJI,MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2212,0000102171,5252239588,"STOWARZYSZENIE ""SZKOŁY DLA POKOJU""",MAZOWIECKIE,WARSZAWSKI,WARSZAWA-CENTRUM,WARSZAWA
2213,0000102175,6551688171,BUSKI OŚRODEK TERAPII I PROFILAKTYKI UZALEŻNIEŃ,ŚWIĘTOKRZYSKIE,BUSKI,BUSKO-ZDRÓJ,BUSKO-ZDRÓJ
2214,0000102199,7691757062,STOWARZYSZENIE RODZIN KATOLICKICH ARCHIDIECEZJI ŁÓDZKIEJ ODDZIAŁ W BEŁCHATOWIE,ŁÓDZKIE,BEŁCHATOWSKI,BEŁCHATÓW,BEŁCHATÓW
2215,0000102333,5252260772,STOWARZYSZENIE ŻOLIBORZAN,MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
2216,0000102389,1181637143,FUNDACJA CENTRUM TWÓRCZOŚCI NARODOWEJ,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2217,0000102521,5830010740,JACHTKLUB STOCZNI GDAŃSKIEJ,POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK
2218,0000102528,7781463128,POZNAŃSKIE STOWARZYSZENIE PROMOCJI SZTUKI,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
2219,0000102679,9950000120,STOWARZYSZENIE WSPIERANIA INICJATYW GOSPODARCZYCH ORAZ ROZWOJU ZIEMI GRANOWSKIEJ,WIELKOPOLSKIE,GRODZISKI,GRANOWO,GRANOWO
2220,0000102686,5851012069,ZWIĄZEK SZLACHTY POLSKIEJ,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
2221,0000102760,6110155623,"""BIEG PIASTÓW""",DOLNOŚLĄSKIE,KARKONOSKI,SZKLARSKA PORĘBA,SZKLARSKA PORĘBA
